OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-5  (PRN 22),2000-040A,2026-05-03T21:58:14.308896,2.00557395,.01215232,54.8595,216.9205,302.3502,55.8691,0,U,26407,999,18905,0,.12E-6,0
GPS BIIR-8  (PRN 16),2003-005A,2026-05-03T19:14:32.997120,2.00563031,.01481232,54.8907,216.7322,52.9801,358.4784,0,U,27663,999,17042,0,.13E-6,0
GPS BIIR-11 (PRN 19),2004-009A,2026-05-02T23:28:50.836224,2.00556290,.0113993,54.8685,277.5127,171.1088,160.0321,0,U,28190,999,16203,0,-.46E-6,0
GPS BIIR-13 (PRN 02),2004-045A,2026-05-03T16:49:06.406176,2.00554019,.01700014,55.1617,326.6878,315.2145,242.6903,0,U,28474,999,15753,0,-.8E-6,0
GPS BIIRM-1 (PRN 17),2005-038A,2026-05-03T11:34:31.456992,2.00568899,.01277586,54.9161,274.9805,295.8986,65.8575,0,U,28874,999,15094,0,-.39E-6,0
GPS BIIRM-2 (PRN 31),2006-042A,2026-05-03T02:24:12.849408,2.00572439,.01061367,54.7037,153.1291,53.5535,290.0228,0,U,29486,999,14348,0,.56E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2026-05-03T13:04:34.880160,2.00555729,.00862187,54.9419,215.7756,90.3679,270.6652,0,U,29601,999,14251,0,.13E-6,0
GPS BIIRM-4 (PRN 15),2007-047A,2026-05-03T20:23:36.703104,2.00557616,.01649975,54.0637,81.8922,86.6027,275.2463,0,U,32260,999,13592,0,-.24E-6,0
GPS BIIRM-5 (PRN 29),2007-062A,2026-05-03T21:56:09.999168,2.00557501,.0034759,55.0688,275.9313,162.7915,10.6328,0,U,32384,999,13462,0,-.36E-6,0
GPS BIIRM-6 (PRN 07),2008-012A,2026-05-03T06:23:15.719424,2.00571277,.02099798,54.4896,151.7195,247.2127,110.6170,0,U,32711,999,13285,0,.54E-6,0
GPS BIIRM-8 (PRN 05),2009-043A,2026-05-03T18:16:03.885312,2.00556854,.00531326,56.1838,29.1970,81.5742,288.7222,0,U,35752,999,12247,0,-.91E-6,0
GPS BIIF-1  (PRN 25),2010-022A,2026-05-03T14:12:46.131840,2.00560298,.01265655,54.2756,210.3584,66.0904,299.5522,0,U,36585,999,11670,0,.18E-6,0
GPS BIIF-3  (PRN 24),2012-053A,2026-04-29T10:57:41.853888,2.00566727,.017809,53.5755,145.5957,65.1816,296.7302,0,U,38833,999,9846,0,.77E-6,0
GPS BIIF-4  (PRN 27),2013-023A,2026-05-03T19:25:50.611584,2.00563864,.01419111,54.5404,270.7805,50.7344,310.4818,0,U,39166,999,9499,0,-.34E-6,0
GPS BIIF-5  (PRN 30),2014-008A,2026-05-03T07:29:12.543936,2.00556991,.00839159,53.6460,151.1502,230.3158,129.0031,0,U,39533,999,8878,0,.52E-6,0
GPS BIIF-6  (PRN 06),2014-026A,2026-05-03T14:06:10.413792,2.00564464,.0038803,56.5189,333.2540,326.8183,32.9702,0,U,39741,999,8764,0,-.83E-6,0
GPS BIIF-7  (PRN 09),2014-045A,2026-05-03T16:16:51.015936,2.00555571,.00318156,55.3249,90.2371,119.0141,241.2714,0,U,40105,999,8518,0,-.9E-7,0
GPS BIIF-8  (PRN 03),2014-068A,2026-05-01T01:24:59.899104,2.00573442,.00654807,56.9570,32.7707,69.0002,291.7081,0,U,40294,999,8426,0,-.102E-5,0
GPS BIIF-9  (PRN 26),2015-013A,2026-05-03T16:29:05.683776,2.00554096,.01089128,53.1730,206.0181,39.9961,320.8646,0,U,40534,999,8093,0,.2E-6,0
GPS BIIF-10 (PRN 08),2015-033A,2026-05-03T08:20:33.338976,2.00558691,.01150301,54.0192,268.9342,29.9565,330.6602,0,U,40730,999,7909,0,-.37E-6,0
GPS BIIF-11 (PRN 10),2015-062A,2026-05-02T21:45:39.076128,2.00567177,.0111283,56.9306,32.5559,231.4723,127.5442,0,U,41019,999,7692,0,-.92E-6,0
GPS BIIF-12 (PRN 32),2016-007A,2026-05-02T23:52:33.521952,2.00553971,.00961371,55.4969,91.2501,247.1544,111.7956,0,U,41328,999,7493,0,-.1E-6,0
GPS BIII-1  (PRN 04),2018-109A,2026-05-03T09:56:36.181824,2.00559811,.00380512,55.6556,93.9521,198.8670,357.0832,0,U,43873,999,5417,0,-.3E-7,0
