OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2026-05-03T19:38:45.492576,15.46396829,.00010779,53.1551,280.3842,20.3632,339.7419,0,U,44714,999,35734,.39086615E-3,.19257E-3,0
STARLINK-1012,2019-074F,2026-05-03T21:15:55.215072,15.46573338,.00005749,53.1591,280.3857,17.0362,343.0665,0,U,44718,999,35734,.40403984E-3,.20047E-3,0
STARLINK-1017,2019-074L,2026-05-03T19:10:01.904160,15.28892729,.00025459,53.0489,276.2399,262.7691,97.3018,0,U,44723,999,35738,.19020915E-2,.54158E-3,0
STARLINK-1019,2019-074M,2026-05-04T02:25:42.364128,16.09486671,.0011068,53.0307,213.5402,346.4662,13.6072,0,U,44724,999,35827,.63758E-3,.599611E-2,.19698E-3
STARLINK-1020,2019-074N,2026-05-03T21:11:34.967904,15.49874045,.00004922,53.1607,305.6062,66.1600,293.9461,0,U,44725,999,35697,.14886075E-2,.84927E-3,0
STARLINK-1036,2019-074AE,2026-05-03T17:17:19.872960,15.65841301,.00028571,53.0438,279.8714,192.8797,167.2146,0,U,44741,999,35732,.53608363E-3,.55293E-3,0
STARLINK-1039,2019-074AH,2026-05-03T16:48:51.325920,15.26214410,.00003042,53.0595,321.3674,123.2102,236.8925,0,U,44744,999,35674,.17329625E-2,.45377E-3,0
STARLINK-1042,2019-074AL,2026-05-03T13:03:09.997344,15.52589083,.0002195,53.0416,191.0234,8.6068,351.4978,0,U,44747,999,35858,.3659E-3,.22473E-3,0
STARLINK-1043,2019-074AM,2026-05-03T20:21:00.207648,15.57546506,.00013321,53.0510,287.6173,222.9369,137.1538,0,U,44748,999,35723,.58421627E-3,.43567E-3,0
STARLINK-1046,2019-074AQ,2026-05-03T21:52:48.599904,15.50794266,.00033768,53.0504,307.0716,328.8321,31.2486,0,U,44751,999,35696,.13244513E-2,.77973E-3,0
STARLINK-1047,2019-074AR,2026-05-03T15:26:20.244768,15.33797219,.00033678,53.0696,249.0364,53.3988,306.7323,0,U,44752,999,35777,.30953129E-3,.99E-4,0
STARLINK-1048,2019-074AS,2026-05-04T00:00:02.000160,15.63745084,.00043215,53.0460,260.0281,295.0952,110.9776,0,U,44753,999,575,.80213951E-3,.76565E-3,0
STARLINK-1063,2019-074BH,2026-05-03T23:01:47.793216,15.46361897,.00008398,53.1576,320.7150,106.6125,253.4975,0,U,44768,999,35680,.10175359E-2,.50974E-3,0
STARLINK-1067,2019-074BL,2026-05-04T00:00:02.000160,15.69403059,.00045968,53.0449,293.5503,234.7602,93.5391,0,U,44771,999,593,.11055291E-2,.133877E-2,0
STARLINK-1068,2019-074BM,2026-05-03T21:38:06.674496,15.70894979,.00019632,53.0448,267.9007,88.2240,271.9002,0,U,44772,999,35750,.52656499E-3,.66977E-3,0
